order_id,product_type,region,sales_rep,units_sold,unit_price,sale_date
1001,Substation,East,Ava,24,13935,2024-02-27
1002,Substation,South,Mary,12,11734,2024-06-07
1003,Oil-Insulated,South,Mary,25,7398,2024-01-27
1004,Dry-Type,North,Lisa,18,8962,2024-05-21
1005,Cast Resin,West,Mary,10,10293,2024-02-17
1006,Three-Phase,West,Carlos,11,13169,2024-05-19
1007,Dry-Type,South,Lisa,21,12948,2024-03-21
1008,Three-Phase,West,Noah,19,13302,2024-06-01
1009,Cast Resin,North,Lisa,12,12482,2024-04-14
1010,Switchgear,South,Lisa,25,11478,2024-02-13
1011,Dry-Type,West,John,17,10862,2024-04-10
1012,Dry-Type,South,Ava,19,11022,2024-03-05
1013,Dry-Type,West,John,5,10771,2024-05-24
1014,Three-Phase,South,Noah,11,14899,2024-03-23
1015,Oil-Insulated,West,Lisa,10,14984,2024-05-08
1016,Cast Resin,East,Ava,2,11073,2024-02-11
1017,Substation,West,Mary,13,11253,2024-05-23
1018,Dry-Type,South,John,12,11357,2024-04-30
1019,Padmount,North,Noah,18,7906,2024-05-03
1020,Cast Resin,East,Ava,20,13434,2024-02-04
1021,Switchgear,East,Noah,9,8092,2024-05-19
1022,Dry-Type,West,John,7,14719,2024-04-20
1023,Dry-Type,East,Lisa,17,9226,2024-05-08
1024,Dry-Type,East,Carlos,15,12514,2024-05-25
1025,Cast Resin,West,Carlos,7,14919,2024-02-28
1026,Cast Resin,West,Noah,4,12454,2024-01-07
1027,Dry-Type,North,Noah,23,9347,2024-05-25
1028,Substation,North,Carlos,17,9498,2024-06-19
1029,Three-Phase,West,Mary,14,13072,2024-04-20
1030,Padmount,North,Lisa,6,7982,2024-05-09
1031,Padmount,West,Carlos,9,12454,2024-01-19
1032,Cast Resin,North,Lisa,23,10983,2024-06-17
1033,Dry-Type,South,Carlos,23,10944,2024-06-13
1034,Oil-Insulated,North,Carlos,2,14851,2024-03-17
1035,Cast Resin,East,Ava,24,10483,2024-02-02
1036,Oil-Insulated,West,Mary,18,12699,2024-06-04
1037,Switchgear,North,Carlos,9,14127,2024-03-23
1038,Three-Phase,North,Mary,5,7998,2024-06-13
1039,Three-Phase,East,Mary,7,14008,2024-01-23
1040,Dry-Type,South,Carlos,15,14385,2024-06-04
1041,Cast Resin,South,Carlos,13,9404,2024-02-06
1042,Cast Resin,West,Ava,1,14819,2024-04-27
1043,Switchgear,North,Noah,4,9836,2024-05-21
1044,Cast Resin,East,Carlos,25,11074,2024-06-17
1045,Oil-Insulated,West,Mary,19,14850,2024-01-13
1046,Cast Resin,East,Noah,18,9709,2024-02-12
1047,Oil-Insulated,West,Noah,23,7267,2024-02-11
1048,Substation,West,Noah,20,11417,2024-02-27
1049,Switchgear,East,Ava,17,9898,2024-05-03
1050,Cast Resin,North,Noah,8,12833,2024-02-27
1051,Padmount,East,Mary,19,7287,2024-02-10
1052,Dry-Type,East,Mary,22,14188,2024-06-11
1053,Substation,North,Lisa,15,12178,2024-01-15
1054,Dry-Type,North,Noah,13,7292,2024-02-25
1055,Padmount,West,John,12,8746,2024-05-09
1056,Cast Resin,South,John,15,11521,2024-06-02
1057,Three-Phase,West,Carlos,16,7763,2024-04-11
1058,Switchgear,West,John,25,10305,2024-01-29
1059,Substation,West,Mary,2,8599,2024-04-18
1060,Substation,West,John,20,9941,2024-01-14
1061,Oil-Insulated,West,Ava,8,8381,2024-03-14
1062,Cast Resin,West,Ava,25,7507,2024-02-27
1063,Substation,South,Lisa,8,7628,2024-05-19
1064,Dry-Type,North,Noah,19,11243,2024-06-25
1065,Three-Phase,South,Mary,11,9505,2024-01-03
1066,Cast Resin,East,Mary,2,10593,2024-06-04
1067,Dry-Type,South,Lisa,17,14621,2024-03-21
1068,Cast Resin,East,Carlos,14,7222,2024-06-14
1069,Cast Resin,South,Carlos,1,12725,2024-01-19
1070,Switchgear,West,Noah,8,14714,2024-04-11
1071,Three-Phase,South,Carlos,11,8100,2024-06-14
1072,Cast Resin,South,Carlos,8,12978,2024-06-29
1073,Three-Phase,West,Carlos,10,14097,2024-05-09
1074,Dry-Type,North,John,20,7616,2024-01-05
1075,Substation,East,Noah,16,8762,2024-01-21
1076,Three-Phase,West,Noah,24,7164,2024-04-15
1077,Dry-Type,West,Ava,1,9691,2024-04-09
1078,Cast Resin,West,Lisa,14,9856,2024-06-09
1079,Cast Resin,East,John,9,13221,2024-03-29
1080,Oil-Insulated,South,Mary,10,14849,2024-04-13
1081,Cast Resin,North,Carlos,9,8417,2024-02-21
1082,Padmount,South,Mary,9,13956,2024-05-19
1083,Cast Resin,West,Carlos,23,7167,2024-03-11
1084,Switchgear,North,John,24,12456,2024-02-16
1085,Substation,South,Ava,14,7125,2024-03-27
1086,Substation,South,Mary,2,8053,2024-05-13
